date,cum_ret
2017-01,498392965.82379985
2017-02,489470453.7092015
2017-03,510168252.27887774
2017-04,519857324.91531146
2017-05,572612892.3070571
2017-06,574844306.1134906
2017-07,607914805.981118
2017-08,633540201.8530319
2017-09,643141364.1063582
2017-10,649307224.9144404
2017-11,677471801.0710019
2017-12,718070058.9292086
2018-01,736861426.4628929
2018-02,708214349.9793942
2018-03,713315097.4109272
2018-04,741444965.680105
2018-05,753399651.7674508
2018-06,771518518.5524344
2018-07,805628254.9541312
2018-08,815635412.532458
2018-09,790127137.8050991
2018-10,715674890.642553
2018-11,718380599.9837776
2018-12,704033921.5914608
2019-01,725592505.0797668
2019-02,754077268.050799
2019-03,756104299.1110373
2019-04,777052602.9397439
2019-05,766182822.9972408
2019-06,835212962.468364
2019-07,848473449.5671355
2019-08,860905184.1995741
2019-09,888042748.1830313
2019-10,893257560.9126856
2019-11,920782452.5200286
2019-12,951327189.3132335
2020-01,918771730.9275961
2020-02,761794920.3138466
2020-03,631023886.6873888
2020-04,689220933.2311606
2020-05,757419696.2929051
2020-06,769596211.6019409
2020-07,802003170.3338335
2020-08,850115715.6255176
2020-09,864729916.5323136
2020-10,843283660.3797386
2020-11,855267695.6517788
2020-12,861861840.1493323
2021-01,865442936.839775
2021-02,876308500.3561009
2021-03,903230591.574263
2021-04,970128265.3452767
2021-05,1014382475.4749538
2021-06,944360464.2112657
2021-07,1001615690.8678329
2021-08,1001058147.0798008
2021-09,986437619.0308176
2021-10,996166226.9840566
2021-11,955022637.4358218
2021-12,1034195577.652649
2022-01,1017044195.4950182
2022-02,1025855536.1816813
2022-03,1061709482.1032408
2022-04,1047915052.1468316
2022-05,1073529554.3521796
2022-06,971482915.4100716
2022-07,1023393019.3218343
2022-08,982953775.6007363
2022-09,926743389.9328619
2022-10,963200160.7696605
2022-11,1060360974.6181434
2022-12,1068632292.5717038
2023-01,1073960658.7808034
2023-02,1067606409.933137
2023-03,1102590475.364775
2023-04,1137352652.093054
2023-05,1113988637.790291
2023-06,1170825387.4021952
2023-07,1166267465.4859333
2023-08,1153065625.1359515
2023-09,1169229243.7603629
2023-10,1134320843.3911877
2023-11,1200674242.399241
2023-12,1273996402.8493366
2024-01,1252437037.9857519
2024-02,1214997953.2138133
2024-03,1251861329.5564725
2024-04,1207724702.689566
2024-05,1208842951.57851
2024-06,1248876391.162102
2024-07,1276789185.4828203
2024-08,1286262249.9813185
