date,cum_ret
2017-01,511757517.5
2017-02,524976873.3207075
2017-03,529256746.7554777
2017-04,536277566.66936046
2017-05,545830906.4091948
2017-06,547169972.6303141
2017-07,559923938.3714051
2017-08,559535637.8392317
2017-09,571187514.8329028
2017-10,581537442.3118627
2017-11,593117940.5077097
2017-12,600567033.2773136
2018-01,631913751.4943306
2018-02,604718425.0280912
2018-03,590117175.736149
2018-04,595730405.1286646
2018-05,597560558.0379468
2018-06,596526992.7967815
2018-07,614741837.1469727
2018-08,621137863.8795447
2018-09,623567827.2550337
2018-10,577306763.7334176
2018-11,582839021.132316
2018-12,537882562.0343629
2019-01,574158215.6375862
2019-02,597332774.223155
2019-03,601792493.5688077
2019-04,622044717.4560177
2019-05,584234391.161033
2019-06,621951125.6535527
2019-07,629104852.903252
2019-08,610580395.6010295
2019-09,622428421.8154619
2019-10,637705628.66328
2019-11,654474938.0272938
2019-12,673378673.6773105
2020-01,668794783.7053655
2020-02,611323420.7942144
2020-03,528981710.24760234
2020-04,586118620.7092657
2020-05,613253046.7280494
2020-06,628644174.2671021
2020-07,658107634.1314263
2020-08,701086157.3859081
2020-09,675891807.4516135
2020-10,654665148.1229546
2020-11,737526810.5205991
2020-12,768048617.8346032
2021-01,759953204.1431527
2021-02,778574336.7443192
2021-03,802782888.8336954
2021-04,839061911.1603571
2021-05,849607988.0249214
2021-06,861464694.0010192
2021-07,876317367.8841885
2021-08,896903559.6058525
2021-09,858431294.8891004
2021-10,906432460.2853905
2021-11,885610005.298907
2021-12,922707314.8403829
2022-01,873404600.302638
2022-02,850251255.7318354
2022-03,871698046.9722443
2022-04,798190777.2066941
2022-05,796876664.6459689
2022-06,726974710.5608643
2022-07,784128951.9689127
2022-08,750140190.1599557
2022-09,679139487.9237928
2022-10,727411692.4708128
2022-11,776855194.9166276
2022-12,743106236.6179602
2023-01,795158605.8622946
2023-02,775051423.0394273
2023-03,796998179.8357973
2023-04,809700667.4871786
2023-05,799601736.6394949
2023-06,847044919.074022
2023-07,874903412.4521993
2023-08,852555135.1563168
2023-09,814642137.0317408
2023-10,790483579.0497985
2023-11,863292335.4528738
2023-12,904849078.8836601
2024-01,915166800.5705978
2024-02,952822748.8521147
2024-03,981532961.9035484
2024-04,943712357.1395476
2024-05,983649229.7849499
2024-06,1002667228.9170642
2024-07,1019739013.1461481
2024-08,1045340165.776417
