date,cum_ret
2017-01,498392965.82379985
2017-02,486745807.0521896
2017-03,505026171.4789446
2017-04,511951728.01256883
2017-05,561158867.98327
2017-06,560425585.9072766
2017-07,589623400.3033926
2017-08,610822250.6141663
2017-09,616243128.2515445
2017-10,618421941.7070274
2017-11,641495274.3926864
2017-12,675005007.3435572
2018-01,687730717.5410963
2018-02,654917262.6974133
2018-03,654420471.7839422
2018-04,675363086.4926851
2018-05,682781044.7323829
2018-06,695814401.1816195
2018-07,723559352.734574
2018-08,729124083.0222478
2018-09,702608115.9269476
2018-10,632264245.4098971
2018-11,631854069.4668446
2018-12,617295944.4879208
2019-01,634362256.3696115
2019-02,657228805.308786
2019-03,656695739.6071092
2019-04,673399346.7575217
2019-05,661857977.6760345
2019-06,719187005.8347586
2019-07,728308353.6220118
2019-08,736147189.7360741
2019-09,756425993.9728106
2019-10,757552681.6293918
2019-11,776972017.9076912
2019-12,798904933.9934783
2020-01,764971763.6398755
2020-02,628799159.4952272
2020-03,517477140.4522016
2020-04,562629959.2232257
2020-05,616046042.5379205
2020-06,623609220.4478433
2020-07,647838665.8461095
2020-08,684261871.8215352
2020-09,693559493.5520809
2020-10,673963552.618558
2020-11,681253810.0182279
2020-12,683933264.5603262
2021-01,684247686.8093492
2021-02,690305065.6595609
2021-03,708909209.1703935
2021-04,758722267.0706927
2021-05,789783175.8493643
2021-06,731724605.7538898
2021-07,772475991.2058264
2021-08,767627463.833003
2021-09,752217218.8903157
2021-10,755608130.6140554
2021-11,720582793.0635295
2021-12,777629137.6601385
2022-01,761524438.9350833
2022-02,764686257.6593068
2022-03,788492428.8268323
2022-04,774973110.7173216
2022-05,790954544.4762083
2022-06,713200789.8325396
2022-07,748899203.4514419
2022-08,716346827.0310026
2022-09,672924430.8715626
2022-10,696581574.5752283
2022-11,764424016.8155779
2022-12,767998800.6100882
2023-01,768314804.9648374
2023-02,760142884.7954391
2023-03,782422972.9708371
2023-04,804494931.8314908
2023-05,784622718.0659401
2023-06,821547965.1307577
2023-07,815338791.0062326
2023-08,802825546.5997748
2023-09,811167677.40609
2023-10,783881310.0426723
2023-11,826090878.6797448
2023-12,872776116.6026143
2024-01,852912636.5749631
2024-02,823153872.1324778
2024-03,844543961.8464274
2024-04,811197506.230571
2024-05,808663651.0936583
2024-06,832987503.2435338
2024-07,847665176.4664814
2024-08,847985210.3369832
